model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9287177844057138,0.6845206954227991,0.9551038634094201,0.9340866685012049,0.7080025872983604,0.9545012165450122,0.9194690958184925,0.6638824586476982,0.9514355854413491
MLPClassifier,0.927679233593563,0.683967045280114,0.9552254438890356,0.9323265186955091,0.7041873046897458,0.9506082725060827,0.9206150611754844,0.6682861640701437,0.951755790372505
LogisticRegression,0.920709946606763,0.659302084337287,0.9539477755398581,0.9290965011779077,0.6867821604745856,0.9503649635036496,0.9130938246742513,0.6290109380474577,0.9481268011527377
TabNetClassifier,0.9172854912488495,0.6547823336419023,0.9522446865444275,0.9252422932620995,0.6879157058275372,0.9515815085158151,0.9144985355288711,0.6353647378002678,0.9473796563133738
RandomForestClassifier,0.9179179950099033,0.6664331631979592,0.9010827324629874,0.9256772969199896,0.701050953070908,0.8997566909975669,0.9144006188517678,0.6604923082629213,0.8905432810331946
SVC,0.9205442871493166,0.62444476062332,0.9510886541910661,0.9299119757304034,0.6671322587234353,0.9469586374695864,0.9153121769855941,0.5998074416017908,0.9452983242608602
GradientBoostingClassifier,0.9213863362201911,0.66041202454145,0.9531571693251525,0.9292609384333492,0.695068005106028,0.9510948905109489,0.919513889932554,0.6625491892823004,0.9510086455331412
AdaBoostClassifier,0.9179528377526823,0.638793536676876,0.951392845960308,0.9207282389105529,0.6713387991665376,0.9481751824817518,0.9138558255726383,0.6207917326018326,0.9476464937560038
KNeighborsClassifier,0.8173679885411153,0.5244017397006449,0.9516363955329444,0.8035968971696659,0.5477335318589678,0.9498783454987835,0.8137507493516751,0.5382664807965547,0.9508485430675633
DecisionTreeClassifier,0.8649027297982691,0.5625003743206358,0.8855103826398618,0.8704393830582645,0.6074985729825597,0.9048661800486618,0.8652640848892296,0.5824692412244465,0.8979613619383072
GaussianNB,0.8858759219629174,0.4571285102505511,0.8675621244791655,0.8970887055096548,0.5149109701888115,0.8708029197080291,0.8818235253844445,0.4457874419956592,0.8593233002454904
