model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9211563575803838,0.6738059858027351,0.9544954243547352,0.9285587242353667,0.6975083856565274,0.9520681265206813,0.9216536333745791,0.6683101324661643,0.952396200234817
MLPClassifier,0.9211463836037856,0.6750070143193175,0.9543128130651086,0.9266366540709966,0.697295095946978,0.9530413625304136,0.9219421859527663,0.6690943988054935,0.952396200234817
LogisticRegression,0.9153340215577994,0.6480377487536988,0.9532177375001574,0.9213662722409776,0.6817287250845223,0.9510948905109489,0.9134353954489514,0.6303875178790322,0.9480734336642118
TabNetClassifier,0.9095756165525074,0.6444663593283723,0.948290859738689,0.9204505413005981,0.6852673521629562,0.9501216545012166,0.9072087839880038,0.6434139641126815,0.9502081332052513
RandomForestClassifier,0.9141621624710705,0.6601902681218311,0.8900712976060674,0.9199958219513669,0.6865758132789297,0.8890510948905109,0.9098843034410897,0.6486426313773924,0.877148041413171
SVC,0.9142485507855829,0.6200813662692344,0.9499326403431049,0.922254317316921,0.657968265971246,0.948905109489051,0.915756882763826,0.6014689298137653,0.9449247518411783
GradientBoostingClassifier,0.9190222352898813,0.6589449824486335,0.953217867037959,0.9248181961568664,0.6890484053815233,0.9532846715328467,0.9205314635861007,0.6620980681768072,0.9505283381364072
AdaBoostClassifier,0.9144952793668686,0.6368044393724597,0.9519403467319834,0.9201690683454927,0.6717097545499577,0.9506082725060827,0.9136629979744544,0.6219256125841229,0.946952716405166
KNeighborsClassifier,0.811121659500305,0.5173976335256836,0.9521228284838082,0.8125625029363794,0.5318566273059331,0.9503649635036496,0.8157256562984783,0.5289204040114562,0.9498879282740954
DecisionTreeClassifier,0.8699045840784247,0.5781676992473002,0.8960336450382951,0.8712372393333915,0.6134693899548641,0.9075425790754258,0.8654573299535278,0.5893889351854467,0.9025509659515423
GaussianNB,0.8749709922007014,0.42696880652774694,0.8674407290535525,0.8853775848529797,0.4547315737522371,0.8673965936739659,0.871501508722537,0.4050943313900096,0.8540932863699434
