model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9280748060677114,0.6813102320901817,0.9544954798709359,0.9311779748041855,0.7040298497166909,0.9537712895377128,0.9229541655603816,0.6725594192433729,0.952609670188921
MLPClassifier,0.9280238526216131,0.681814431638136,0.9549213631521951,0.9312895572275208,0.7052256609719743,0.9557177615571776,0.9228545372722096,0.6747666958565867,0.9527164051659729
LogisticRegression,0.9253775357986338,0.6603008196161652,0.9532179410595599,0.9287936346002832,0.687907290180836,0.9513381995133819,0.9172462348731153,0.6366852251513015,0.9495143558544135
TabNetClassifier,0.9143317461048028,0.6459819824563755,0.9526097795858789,0.91145934708342,0.6394714249780864,0.9474452554744526,0.8955433196237462,0.6033748757091663,0.9473796563133738
RandomForestClassifier,0.9174765830309823,0.6624221907529748,0.8947558656567158,0.9247133254582431,0.6983631883593833,0.8951338199513382,0.9136537511000231,0.6600348396767648,0.8865940868822714
SVC,0.925050179195917,0.6242863963217864,0.9493245528910247,0.9295331827669755,0.6662200779460209,0.9484184914841849,0.918637983404887,0.6087648837025517,0.9471128188707439
GradientBoostingClassifier,0.9232584114762694,0.6601068475093631,0.953826232071043,0.9263740578416436,0.698195067880861,0.9525547445255474,0.9220942062382794,0.6535692015848249,0.9510086455331412
AdaBoostClassifier,0.9210723322838813,0.6400232475392629,0.9513319631934991,0.9247061942507365,0.6803356004852978,0.9503649635036496,0.915444179770928,0.6203110924003064,0.9479666986871598
KNeighborsClassifier,0.8078542075503774,0.5224951414635827,0.951575475755335,0.8202432329035593,0.5510075050833037,0.9491484184914842,0.8133996603495695,0.5265490371494715,0.9494076208773615
DecisionTreeClassifier,0.8623958021776099,0.5750307886000716,0.8906197791639556,0.8780710335384885,0.6228062734611135,0.9075425790754258,0.8681079475528971,0.5883839820388252,0.8998825915252429
GaussianNB,0.890131216385542,0.4675569733082088,0.8661644115985927,0.9029228722154732,0.5199673034795516,0.8778588807785888,0.8902636256765037,0.45742979371629616,0.8663678087309211
