model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9180471183214257,0.6669792943632481,0.954130349818684,0.9275486096662259,0.7062133116387168,0.9532846715328467,0.9152366782388274,0.6585658493324544,0.9516490553954531
MLPClassifier,0.9193148883967591,0.6684303880111285,0.9541302943024833,0.9274882041438187,0.7038534085210378,0.9537712895377128,0.915925497327382,0.6625079539910084,0.9516490553954531
LogisticRegression,0.9113024282868997,0.6441128346306442,0.953035292759133,0.9209560180679628,0.688063567325327,0.9535279805352798,0.9075049553227764,0.6233790701782592,0.9485003735724197
TabNetClassifier,0.9077127147525704,0.6228703805315222,0.9471350494501305,0.9145823964884255,0.690763071728409,0.9537712895377128,0.9046385286156323,0.6476985334101982,0.9512221154872452
RandomForestClassifier,0.9123752593466234,0.65845821622208,0.8930526471234834,0.9180775271321471,0.6905788026309342,0.8907542579075426,0.9085841261014843,0.6506281767661236,0.8846728572953357
SVC,0.9104635680414679,0.6113609002019501,0.9490810773399894,0.9204786466478291,0.6655241163121385,0.948661800486618,0.9079742081085277,0.5902065948810591,0.9456185291920163
GradientBoostingClassifier,0.9170032817553725,0.6564722463505548,0.9526097795858787,0.9226347882115268,0.6883578510567451,0.9527980535279805,0.9142614773958797,0.6529347706176917,0.9503682356708293
AdaBoostClassifier,0.9114392489860231,0.6332407677559605,0.9512711359428909,0.9188766418556575,0.6807931018784171,0.9508515815085158,0.909997395011447,0.6166405069870892,0.946685878962536
KNeighborsClassifier,0.810252466155269,0.5206598017542239,0.9526096870588775,0.8211732262589516,0.5458523069797461,0.9506082725060827,0.8049685981988842,0.5030797888702709,0.9491407834347315
DecisionTreeClassifier,0.8691442589456242,0.5788121570159064,0.8913485588364397,0.8737495217896143,0.6173609943496514,0.9085158150851581,0.864628722336608,0.5928255638741201,0.9029779058597502
GaussianNB,0.8733752860858145,0.4249859489972729,0.8679883593630293,0.87916336673535,0.4507310806678625,0.8671532846715329,0.868610639374402,0.40043855630102543,0.8550539011634113
