model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9198304820625577,0.6779059877314196,0.9556512901594945,0.9261517319605618,0.7000542676072864,0.9520681265206813,0.9157112954641471,0.6639730119999103,0.9515423204184011
MLPClassifier,0.9204677584758881,0.678634630521811,0.9552862526342437,0.9281283348882163,0.7077874598267688,0.954014598540146,0.9165531993768066,0.6694991450406833,0.952236097769239
LogisticRegression,0.9118631410876847,0.64807460210877,0.9534003672951841,0.9203486069815361,0.6832693920931062,0.9532846715328467,0.9061798761294546,0.6240083743883269,0.9482335361297898
TabNetClassifier,0.9095741309210312,0.629014822343926,0.9514533586191123,0.9215730772586631,0.6585254361400383,0.9510948905109489,0.9124755364857036,0.5995013289658742,0.9477532287330558
RandomForestClassifier,0.914638511124463,0.6590366500189917,0.8920183432929397,0.9223881323283645,0.6933021797221112,0.8912408759124087,0.910290330983834,0.651456531959649,0.8815241754723022
SVC,0.9119719252051025,0.6104170616489399,0.9498717390708956,0.9196648500265112,0.643165039597895,0.9474452554744526,0.9093000178675495,0.5888586937507075,0.9447112818870744
GradientBoostingClassifier,0.9173776050957422,0.643799967055753,0.9533396325715771,0.9263564395642747,0.6883803643719183,0.9523114355231144,0.9191251037403295,0.664330768011558,0.952075995303661
AdaBoostClassifier,0.9136247804005386,0.6326466984713323,0.9511494999470745,0.9197214802037681,0.6670542526384653,0.9496350364963504,0.9083372783881132,0.6166846361742093,0.9473262888248479
KNeighborsClassifier,0.8156079677705611,0.5313317508018955,0.9535830155956111,0.8350161584772441,0.5585698379734318,0.9510948905109489,0.8188168676348541,0.5351255016612922,0.9512221154872452
DecisionTreeClassifier,0.8618442519451401,0.5540023053633965,0.8903766182047246,0.8808089977381488,0.6105482585821347,0.9036496350364963,0.8685749668949371,0.585363878921432,0.9003095314334507
GaussianNB,0.8813058447761714,0.45632894743622243,0.8611745599600875,0.8933360124301141,0.5146785002004377,0.8686131386861314,0.8801050887449465,0.4625317791515263,0.8539865513928915
