model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9279362764409849,0.683566907762489,0.9552253513620345,0.934393729906774,0.7082699907939822,0.9501216545012166,0.9210388727746969,0.6660585066008382,0.9514355854413491
MLPClassifier,0.9282191543604428,0.6849821860638408,0.9545562330999433,0.9341722429912814,0.7072093251781527,0.9513381995133819,0.9213391978973067,0.6687289855136802,0.9519158928380831
LogisticRegression,0.920647694092264,0.6606326007915565,0.9537652382718326,0.9294505446564604,0.6887268734719456,0.9508515815085158,0.9138315290447874,0.6314070337370603,0.9480734336642118
TabNetClassifier,0.9134984295976147,0.6361826541169998,0.9512104382300842,0.9201921398991898,0.6601754470234911,0.9493917274939173,0.909999503215324,0.6288537474355962,0.9475397587789519
RandomForestClassifier,0.9156948323291555,0.6612134392987514,0.9029075684866358,0.9255875276019678,0.7007681143878381,0.9038929440389294,0.9150398220926407,0.6613468520199597,0.8932116554594941
SVC,0.9206791550965375,0.6390254302668128,0.9514536547055161,0.9301334626458961,0.6774907003799688,0.9476885644768857,0.915470208783153,0.6148088488149327,0.9464724090084321
GradientBoostingClassifier,0.9220000404977202,0.656663235442854,0.9535830155956111,0.9280318538454827,0.6837678618507753,0.9510948905109489,0.9207442878111582,0.6632041384289196,0.9515423204184011
AdaBoostClassifier,0.9146086858044125,0.6258557714170627,0.9518793899435734,0.9219250233232432,0.6786956212712194,0.9491484184914842,0.914406004164642,0.6207911868521196,0.946685878962536
KNeighborsClassifier,0.8094280301639785,0.5172689749183419,0.9519405317859858,0.806794614512091,0.5537693342750309,0.9520681265206813,0.8099078694032407,0.5394707440070194,0.9509552780446152
DecisionTreeClassifier,0.8661973367492164,0.5705352137824332,0.8858729589468799,0.8729705422402395,0.6195692264535964,0.8961070559610705,0.8590947289058547,0.5809852751960646,0.8850464297150176
GaussianNB,0.8880504662815716,0.4647709709339476,0.8721247419421936,0.900771344962515,0.5248311212496872,0.8749391727493917,0.8862648638809988,0.45746378997990644,0.8624186145799979
