model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9189950323760329,0.628187869442525,0.9523662855294432,0.9232061237776271,0.6719587552910131,0.9510948905109489,0.9161428719330853,0.6140909535456867,0.9478599637101078
MLPClassifier,0.918745449279664,0.627296295511764,0.9514538582649189,0.9213939581054144,0.6657873026385633,0.9515815085158151,0.9189732086946502,0.6250338846346489,0.9498345607855694
LogisticRegression,0.9146366854887322,0.6115489407290586,0.9506021287132012,0.9171093608424556,0.6542021179968492,0.9496350364963504,0.9132563859791499,0.5958469559514749,0.946525776496958
TabNetClassifier,0.9045562418986591,0.5920802945802361,0.9478038346150173,0.906657947017645,0.6321576469715213,0.948905109489051,0.9090733755141095,0.5958477023741207,0.9446045469100224
RandomForestClassifier,0.90455225750684,0.6146944421177846,0.8591059337935997,0.9088765915177222,0.6443209849554113,0.8549878345498784,0.8969071396724728,0.5940969534842228,0.8444337709467392
SVC,0.9145073877476563,0.579917035133208,0.945613701990515,0.9167393770177122,0.6347084865479949,0.9462287104622871,0.9149602739245656,0.5706432829162502,0.9433770946739246
GradientBoostingClassifier,0.9160966648154302,0.611932085022766,0.95054107939779,0.9159465545361192,0.6459878103928115,0.9496350364963504,0.9162492005523912,0.6074165957163458,0.9475931262674778
AdaBoostClassifier,0.9129611080146743,0.5929331531238894,0.9491421081500004,0.9129589980737349,0.6387676531535501,0.9472019464720195,0.9116671133554088,0.5802649426063782,0.9448180168641264
KNeighborsClassifier,0.8155075379627672,0.4620098064575545,0.9454312017332898,0.8101282442799326,0.49422100289797516,0.94330900243309,0.8214925332010802,0.48652388734044494,0.9435371971395026
DecisionTreeClassifier,0.8834410430760243,0.5042385007523184,0.810557423367287,0.8696218110917963,0.5313330790910166,0.7469586374695864,0.8680656164889096,0.4890018277296726,0.7458106521507097
GaussianNB,0.8616486638701961,0.35688470099242486,0.8237613410345407,0.8706847804930433,0.40905488319270356,0.8231143552311435,0.8577572718422445,0.362868519862464,0.808997758565482
