model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9205871524172788,0.6711967749482431,0.9543128130651087,0.9297089460578684,0.6979121454296356,0.9527980535279805,0.9206056264413017,0.6664815155575474,0.9515956879069271
MLPClassifier,0.9203355071094851,0.6715907793773155,0.9551645056060261,0.9278917465921217,0.6936155257714232,0.9518248175182482,0.9208278645272363,0.6667212229294094,0.9517024228839791
LogisticRegression,0.9149130636933339,0.6479939377617624,0.953096101504341,0.9225274006161364,0.6820411380936112,0.9515815085158151,0.9129356467635521,0.6313033043202253,0.9485003735724197
TabNetClassifier,0.9091107744449388,0.6413227314620231,0.9529136382579164,0.9136716993415798,0.6650849782003512,0.9508515815085158,0.9015998345164324,0.5961136435252846,0.9482869036183157
RandomForestClassifier,0.9130643973391711,0.6562637840323979,0.8944515628550723,0.9209245568583759,0.6912145057500696,0.889294403892944,0.9108492972375433,0.6490533546811083,0.8807236631444124
SVC,0.9141541268588282,0.6250909875768109,0.950784314378622,0.9232967320612377,0.664001785977943,0.9496350364963504,0.9155979116675099,0.6100854575431702,0.9456718966805422
GradientBoostingClassifier,0.918345198793355,0.6532485535153707,0.9525486562488666,0.9274512896579035,0.6931577329096419,0.9530413625304136,0.9200843365044059,0.6507279203337607,0.9515423204184011
AdaBoostClassifier,0.9129310172134076,0.6254185010965227,0.9506018511321974,0.9233214815461129,0.6881573812828624,0.9527980535279805,0.913246116312739,0.6213723019692089,0.9461522040772761
KNeighborsClassifier,0.8056536736081146,0.5139908057181084,0.952183785272218,0.8095367735396964,0.5217398294381704,0.9518248175182482,0.8158022822037534,0.5234369070056717,0.9505283381364072
DecisionTreeClassifier,0.870764294135677,0.5726086358883016,0.8752869447362128,0.8700647849227815,0.6137780795728622,0.8608272506082725,0.8596826673078947,0.5790034070448776,0.8605507524815882
GaussianNB,0.8748040663569338,0.42346556868342955,0.8683533968882801,0.8849891437852785,0.4485952854498866,0.870316301703163,0.8707490051782496,0.40309903932495705,0.8550005336748853
