model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9267223774730187,0.6773823854107279,0.9541304053348847,0.9306334861369325,0.6986895276561232,0.9520681265206813,0.9201673078946182,0.6639815768447979,0.9519158928380831
MLPClassifier,0.9262587114008994,0.6751714012060774,0.9535220773126014,0.9305139335405019,0.7001212845492276,0.9532846715328467,0.9193822211201118,0.6616307500907211,0.9508485430675633
LogisticRegression,0.9232709714922299,0.6567823179361247,0.9530962495475428,0.9287718214949697,0.689888961531313,0.9518248175182482,0.915835282900087,0.6371564340655627,0.9495143558544135
TabNetClassifier,0.9175305164503141,0.6509720025582935,0.952366563110447,0.9217933057257724,0.702638808123723,0.9545012165450122,0.9085068531237319,0.6491846266568194,0.9512221154872452
RandomForestClassifier,0.9137259898289829,0.6587195576117163,0.9036377730749388,0.9235668789808917,0.6964312090483764,0.9002433090024331,0.911691034163757,0.6566801685714981,0.8924645106201302
SVC,0.9232780537024701,0.6347429784037868,0.9507846104650259,0.9289542965105744,0.6768526522452633,0.9493917274939173,0.917279152076226,0.623774833681979,0.9475397587789519
GradientBoostingClassifier,0.9178428177037544,0.6397305179792708,0.9510276788972558,0.9245081983717356,0.6916223880075074,0.9501216545012166,0.9188288489123339,0.656593727892067,0.9507951755790373
AdaBoostClassifier,0.9174802141850575,0.6328944326948152,0.951453562178515,0.924813581846127,0.682547877792744,0.9498783454987835,0.913310280854503,0.6195802339073015,0.9474330238018999
KNeighborsClassifier,0.8083335707092412,0.5204088703488715,0.9521230505486111,0.8114831737061472,0.5471615479910885,0.9498783454987835,0.811989146715961,0.5220491341265137,0.9487672110150497
DecisionTreeClassifier,0.8564874978464383,0.5729398770039401,0.8597756257230985,0.8781293416469229,0.6253558495516166,0.8642335766423358,0.8588423706397752,0.5800934819466177,0.8602305475504323
GaussianNB,0.888810507181611,0.4822327150879232,0.8602027673715742,0.8986286268482413,0.5530379689525566,0.8759124087591241,0.8911232092791028,0.4750531257508867,0.8647134165866154
