model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9170771359878763,0.6684185707360771,0.9541912140800928,0.9303784405978804,0.7106329297609669,0.9513381995133819,0.9138348687737017,0.6570051407888763,0.9505283381364072
MLPClassifier,0.9175232060840894,0.6648877611426967,0.9538262505764432,0.929603236393656,0.7065651982161065,0.9532846715328467,0.9149138099460467,0.6604549795479534,0.9513822179528232
LogisticRegression,0.9110919966149496,0.6464597170218406,0.9530353482753338,0.9233873403448483,0.6911117787082004,0.9527980535279805,0.9074844159899539,0.6274101855969796,0.9482335361297898
TabNetClassifier,0.9054285381032198,0.6366408556605615,0.9527922428323032,0.9197067983059608,0.6880930724511495,0.9554744525547445,0.8993526144232872,0.6311607287233041,0.952022627815135
RandomForestClassifier,0.9116181667666202,0.6578087028528274,0.8943909761746672,0.9208230420221085,0.6978438317582293,0.891970802919708,0.9095786764988285,0.6528077904033216,0.8839257124559718
SVC,0.9097461558128327,0.6210020663565176,0.9507843328840222,0.9235383541508662,0.6784045642456887,0.9501216545012166,0.9081731933318973,0.6063571165317062,0.9463123065428541
GradientBoostingClassifier,0.9170515207877875,0.6522746835908828,0.9537654418312351,0.9253433886155726,0.6873448262348509,0.9518248175182482,0.9132262031790881,0.6355538624201615,0.9508485430675633
AdaBoostClassifier,0.9084910002666776,0.6218368222683691,0.9510885801694651,0.9219967548811018,0.6936206551394931,0.9527980535279805,0.9087122464519555,0.617786456653103,0.946525776496958
KNeighborsClassifier,0.8073407364729279,0.5152954724300963,0.9524271127800515,0.8180434651292342,0.5386084930311102,0.9498783454987835,0.8074758996812229,0.5140298535864481,0.9497811932970435
DecisionTreeClassifier,0.8722267955333896,0.569950746154128,0.8759560629983042,0.875834351278248,0.613075933669688,0.8608272506082725,0.8618904368532405,0.5802062819208786,0.8594300352225425
GaussianNB,0.8752475732354116,0.4264597691765301,0.86944837992623,0.883025125341459,0.4589665613345872,0.8690997566909976,0.8718628673910539,0.4074291045195057,0.8556943110257231
