model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9194996045733135,0.6731427137517834,0.9536436948030174,0.9278875517641768,0.7039171070807165,0.9527980535279805,0.9184519605043658,0.6643513089475785,0.9519158928380831
MLPClassifier,0.9197939591678544,0.6729129317179788,0.9546171528775528,0.9268539461585443,0.7047285512708753,0.9525547445255474,0.9195199223179054,0.6642340025079497,0.9517024228839791
LogisticRegression,0.9127503187030873,0.6463666672474406,0.9531570212819505,0.9194626593195654,0.6810820913528085,0.9520681265206813,0.9105055765123545,0.6230327285969094,0.9480734336642118
TabNetClassifier,0.9093695267640118,0.6438347124216912,0.9528530330721111,0.9234808850080205,0.6974208820862894,0.9535279805352798,0.9057470472621737,0.6392543549913017,0.9514889529298751
RandomForestClassifier,0.9150366376334105,0.6571764317250468,0.8934780492643364,0.9254964998355628,0.696218872572524,0.8934306569343066,0.9122771983348111,0.6517650186344438,0.882591525242822
SVC,0.9127931581854073,0.617402083292758,0.9503584866135636,0.9201493526541515,0.6533751077564579,0.948661800486618,0.9129842398192538,0.5937854546113615,0.9458319991461202
GradientBoostingClassifier,0.916713978925358,0.6476693407285088,0.9528529590505102,0.9268568825381057,0.6947721557641228,0.948905109489051,0.9198537073495744,0.6565790760860147,0.9499412957626214
AdaBoostClassifier,0.9110737229051649,0.6149123437621837,0.9502979184385587,0.9185012047545857,0.6712240717763882,0.9506082725060827,0.9113261896531859,0.6146773701591322,0.9466325114740101
KNeighborsClassifier,0.8247308623605033,0.5345593394408253,0.9529745580355259,0.8283837160135038,0.5678572879776578,0.9515815085158151,0.8192500722216377,0.5367731856957538,0.9516490553954531
DecisionTreeClassifier,0.8690670629312744,0.5707621479915197,0.8827709357144602,0.8709427624116569,0.6060416630573742,0.8948905109489051,0.8602803744170086,0.5800010023566556,0.8875547016757391
GaussianNB,0.8826632828772073,0.4602155302209973,0.865615522921899,0.8954476888175956,0.5140165446826326,0.8710462287104623,0.8817173011316671,0.4671129858329091,0.8568683957732949
