model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9275462289538166,0.6862862482847503,0.9549819128217998,0.9312509648104272,0.7069369600828772,0.9525547445255474,0.9206500865824719,0.6685693718899731,0.952236097769239
MLPClassifier,0.927736002853061,0.686400781527088,0.956137797131959,0.9324372621532556,0.7082210404391316,0.9503649635036496,0.9216744649336812,0.6741082010377613,0.9532500800512328
LogisticRegression,0.9204838372889614,0.6596368850078358,0.9538869112784493,0.9273111824045426,0.6875219589250727,0.9510948905109489,0.9129254188437524,0.6290731458004551,0.9480734336642118
TabNetClassifier,0.9134813187838338,0.6372566825504747,0.9514539137811197,0.9261072667843456,0.6779563844336888,0.9506082725060827,0.903435328654373,0.6391122017245603,0.9492475184117836
RandomForestClassifier,0.9175013186807325,0.6660531799118291,0.9027859509962198,0.9249687904800897,0.7002359476531382,0.902676399026764,0.9144735501819317,0.6612865234472803,0.8919308357348703
SVC,0.9208214148928491,0.6291238733580368,0.950723579655015,0.9288913740914002,0.6730235604600417,0.9474452554744526,0.9151958500528512,0.6065472236280918,0.9460454691002241
GradientBoostingClassifier,0.9214740806514286,0.6624105438721126,0.953461083513391,0.9303843133570033,0.7007833569196895,0.9523114355231144,0.9191908755266335,0.6623156630590883,0.9508485430675633
AdaBoostClassifier,0.9181103076332358,0.6385774972730827,0.9515752721959323,0.9184307316451109,0.6702548438554311,0.9476885644768857,0.9140266735799056,0.6219593009660666,0.9474330238018999
KNeighborsClassifier,0.8128295023439046,0.5222166469003906,0.951393068025111,0.8156461209587028,0.5615656323409952,0.9491484184914842,0.8135331660129148,0.540229220940771,0.9511687479987192
DecisionTreeClassifier,0.8656497629874729,0.5626672172560505,0.8853278638772366,0.8704418999550314,0.6076844493018193,0.9048661800486618,0.8652640848892296,0.5824692412244465,0.8979613619383072
GaussianNB,0.8861325949727601,0.45870557923910865,0.8673796057165403,0.8967640258267167,0.515973239107453,0.8693430656934307,0.8830630031510343,0.4483321638311949,0.8567616607962429
