model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9206169096631778,0.6318731354920942,0.9507846289704261,0.918884612028753,0.6627453361592991,0.9491484184914842,0.9162724116683448,0.618598742510205,0.9478065962215818
MLPClassifier,0.9187134258621976,0.6231975643427794,0.950419480412774,0.9198594900431563,0.6610567214658061,0.9496350364963504,0.9196907911984785,0.6222236078597156,0.9482335361297898
LogisticRegression,0.9147718426780935,0.6051271527431827,0.9499937821855173,0.9148206627156981,0.6453651508093888,0.948905109489051,0.9137913688045942,0.5883491687831425,0.9459387341231722
TabNetClassifier,0.8991561440775495,0.5763001924638536,0.9443352749199271,0.9097747041807333,0.6248749191324152,0.9469586374695864,0.9028520032528959,0.5794552427718774,0.9451382217952823
RandomForestClassifier,0.907898343406757,0.6224212280543381,0.8719425377713724,0.9107818823703127,0.6571826719504092,0.867639902676399,0.9012973385700284,0.6072157078549651,0.8607108549471661
SVC,0.9146902108951049,0.565825877561651,0.9447012192097898,0.9150211754914659,0.6222806629112666,0.9450121654501217,0.9156671484225625,0.5581862018034904,0.941509232575515
GradientBoostingClassifier,0.9154262851919848,0.6094483801495458,0.9495069606212485,0.9170237863523789,0.6584059267361891,0.9498783454987835,0.9177101649659097,0.6235595008175563,0.9479133311986337
AdaBoostClassifier,0.9147398581711244,0.592523893567714,0.9484728788555076,0.9090460625666977,0.6322635532235027,0.9474452554744526,0.9128220124872463,0.5767539676541038,0.9447646493756003
KNeighborsClassifier,0.8145370928246924,0.43471861681806023,0.9437884403426609,0.8189264764116434,0.4959986486685002,0.9452554744525548,0.8211982613371273,0.45737142025796024,0.941349130109937
DecisionTreeClassifier,0.8845917381486714,0.5360065446956592,0.8019846856709725,0.8557969166336674,0.5166595422871929,0.8121654501216545,0.8602230563195185,0.4854901511324681,0.8120930728999893
GaussianNB,0.8553374629122921,0.3260305375757174,0.8237610449481367,0.8640871551012466,0.37080245364078285,0.8226277372262774,0.8504245004183011,0.33475761702541995,0.808197246237592
