model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9211386412900104,0.6737632576877881,0.9543737513481185,0.9285041914720826,0.6975156404052836,0.9520681265206813,0.9216275417424369,0.6682595621552095,0.952396200234817
MLPClassifier,0.9211288630804854,0.6751027176596047,0.954312831570509,0.9266098071721491,0.6973080116361431,0.9532846715328467,0.9219204150949067,0.6690168568585774,0.952342832746291
LogisticRegression,0.9153151760818228,0.6480736857380266,0.9532177375001574,0.9213083836153376,0.6814306153573607,0.9510948905109489,0.9134336838378828,0.6302865894679921,0.9481801686412638
TabNetClassifier,0.9110339091509593,0.6319445764361158,0.9507237462036171,0.9200683924748142,0.6939527060543401,0.9542579075425791,0.9125959128397547,0.6628852540837885,0.9503148681823034
RandomForestClassifier,0.9143378676925608,0.6608105874025273,0.8901323469214786,0.9198716550441968,0.6871794265254847,0.8883211678832117,0.9098552895461475,0.6489305709847663,0.8770413064361191
SVC,0.9142452917756451,0.6201189528381569,0.9498109673364882,0.9222316652460182,0.6578206081466662,0.948905109489051,0.9157676742628801,0.6012610574782177,0.9449781193297043
GradientBoostingClassifier,0.918021445277841,0.6602374095645397,0.9529746320571268,0.9274978522480921,0.6929522407129945,0.9532846715328467,0.9197813187253591,0.6594471396521686,0.9511687479987192
AdaBoostClassifier,0.9149580599142209,0.6383254739629248,0.9520011184663908,0.9202978495634023,0.6717602524350086,0.948905109489051,0.9130595715795748,0.6220856077716688,0.9472195538477959
KNeighborsClassifier,0.8111640696836103,0.5174367441965504,0.9521228284838082,0.8110129334935197,0.5313044554326772,0.9503649635036496,0.8161441034581224,0.5290602244352085,0.9498879282740954
DecisionTreeClassifier,0.8694688117760535,0.5766867821101653,0.8960336635436953,0.8712372393333915,0.6134693899548641,0.9075425790754258,0.8654530091792451,0.58938840430442,0.9025509659515423
GaussianNB,0.8749497109107421,0.4269000649697917,0.867684075066786,0.8853578691616384,0.45469977782102716,0.8673965936739659,0.8714819921816945,0.4048815721366481,0.8540932863699434
