model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9284542853296769,0.6821653044078101,0.9544955168817365,0.931502235004329,0.7033221515738671,0.9525547445255474,0.9235886305608574,0.6722272214452654,0.952342832746291
MLPClassifier,0.9279515461846992,0.6829505253219776,0.9551647091654287,0.933069842207352,0.7066856897230117,0.9562043795620438,0.9237711467460186,0.6754886237923052,0.952449567723343
LogisticRegression,0.9251681661539679,0.6604189360426252,0.953278749804768,0.9290352566899116,0.687991207999168,0.9515815085158151,0.9179386859168641,0.6371624535233164,0.9496744583199914
TabNetClassifier,0.9172081316518428,0.6534046085081964,0.9532787868155685,0.9043444994060125,0.6715091102503253,0.9501216545012166,0.9000561700656757,0.6268149538714686,0.9494609883658875
RandomForestClassifier,0.9169616921922159,0.6642064275552608,0.897371844551677,0.9237128589933755,0.6969168335250506,0.8978102189781022,0.913305688727246,0.6604579453457854,0.8885686839577329
SVC,0.9247722455781398,0.62427237798097,0.9492029909168094,0.9299102977992254,0.6674472379049952,0.948905109489051,0.9195989695266436,0.6106156052392568,0.947006083893692
GradientBoostingClassifier,0.9238101168284087,0.6587608537252568,0.9537047441184286,0.925680233299551,0.6915232701452632,0.9542579075425791,0.9225422517454258,0.6664802691471629,0.952022627815135
AdaBoostClassifier,0.9208544670472492,0.6402168753902037,0.9510277529188567,0.9247078721819146,0.6793660732352269,0.9496350364963504,0.9153463257137417,0.6202074354001662,0.9480200661756858
KNeighborsClassifier,0.8099639084428091,0.5266158482412038,0.9518797045353775,0.8165001879282918,0.5482548650023371,0.9491484184914842,0.8130703839519345,0.5271603625921861,0.9495677233429395
DecisionTreeClassifier,0.862431627004742,0.5751136454006223,0.8906806249199641,0.8780710335384885,0.6228062734611135,0.9075425790754258,0.8681079475528971,0.5883839820388252,0.8998825915252429
GaussianNB,0.8885612142198669,0.4628838901812863,0.8594727663426742,0.9020792923157464,0.5156838426719467,0.8739659367396594,0.8920844458805278,0.45696527952361377,0.8619383071832639
