model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9180336703172962,0.6669016054505843,0.9544953503331343,0.9274814924191069,0.705819132252744,0.9532846715328467,0.9152137593491537,0.658362680264526,0.9517024228839791
MLPClassifier,0.9192470178868873,0.668472643748261,0.9540085842850662,0.9274168920687549,0.7035270872217495,0.9537712895377128,0.9158878627571801,0.6622599877765107,0.9516490553954531
LogisticRegression,0.9112773817955835,0.6441632085931437,0.9532177930163581,0.920891417717611,0.6877863718494848,0.9535279805352798,0.9075024922727022,0.6232790875377022,0.9483402711068417
TabNetClassifier,0.9090132523190995,0.6455022564467279,0.9541304793564859,0.9175368138100447,0.6809204099428937,0.9501216545012166,0.9093443318955802,0.6513915294362717,0.9508485430675633
RandomForestClassifier,0.9124717636095715,0.6585842306177095,0.8932960116421175,0.9179844019517696,0.6906203355992994,0.8905109489051095,0.9085043065804348,0.6505746466341675,0.8845661223182837
SVC,0.910416145671956,0.611183666790569,0.9488985770827643,0.9203863604330405,0.6644640459488931,0.948661800486618,0.9079526459837255,0.5902306626230258,0.9455651617034903
GradientBoostingClassifier,0.9148210354725975,0.6528328818985766,0.9521837482614176,0.9220659695421933,0.6867233794895102,0.9513381995133819,0.9126251354677541,0.6526493064642143,0.9502081332052513
AdaBoostClassifier,0.911258139981929,0.632892444541645,0.9515144449453239,0.9186132066607156,0.6798919321023774,0.9506082725060827,0.9096309432563359,0.6156437277882479,0.946792613939588
KNeighborsClassifier,0.8098201547033057,0.5206005238322068,0.9527921873161025,0.8211732262589516,0.5458523069797461,0.9506082725060827,0.8050573097481677,0.5029587310743011,0.9490874159462056
DecisionTreeClassifier,0.8693437174330017,0.5776750187609225,0.8912877500912316,0.8737495217896143,0.6173609943496514,0.9085158150851581,0.8646236918699308,0.5928249376894218,0.9029779058597502
GaussianNB,0.8733704970315136,0.4252400672054174,0.8679883593630293,0.8791612693213774,0.45074027417430373,0.8671532846715329,0.8686218065929588,0.4006319013662815,0.8551072686519372
