model,val_auc,val_aupr,val_acc,intest_auc,intest_aupr,intest_acc,extest_auc,extest_aupr,extest_acc
GNNClassifier,0.9196623823429885,0.6761479285257871,0.9549212706251937,0.9269504272012778,0.7031790954605363,0.9532846715328467,0.9159375620980845,0.6614246921534024,0.9507951755790373
MLPClassifier,0.9202154557661523,0.6784727375704315,0.9558337904167195,0.9280486331572625,0.7057359777323413,0.954014598540146,0.9169324882149316,0.6676511174558083,0.952182730280713
LogisticRegression,0.9118403152690956,0.6481691860220866,0.9535220403018009,0.919874591423758,0.6814112605139152,0.9535279805352798,0.9058785073415591,0.6232706991399272,0.9485003735724197
TabNetClassifier,0.9045173682484519,0.6278745838681405,0.9513321297421011,0.9079151369527427,0.6718413118669949,0.9559610705596107,0.8958540396526015,0.6184412744954558,0.9497811932970435
RandomForestClassifier,0.9156463859136178,0.6626586426374057,0.8961550959801089,0.9228420127120066,0.6950456376422176,0.8934306569343066,0.9112580174367247,0.6552871682203669,0.8875547016757391
SVC,0.9120427896958262,0.6111852355303282,0.9501151035895296,0.9192512399911403,0.6427612799270169,0.9462287104622871,0.9092447453540197,0.5886392628235969,0.9447112818870744
GradientBoostingClassifier,0.9174793507062985,0.6548108589898144,0.9534006448761877,0.929469001899418,0.6940266860387726,0.9525547445255474,0.9188393064384963,0.6634939384473028,0.952022627815135
AdaBoostClassifier,0.9132132868341671,0.6330844375054062,0.9511494999470745,0.9197760129670521,0.6735329992811913,0.9520681265206813,0.9082695653843778,0.6171392270045326,0.9472195538477959
KNeighborsClassifier,0.813846124724221,0.5288464343851281,0.9528529590505102,0.8322131744444371,0.5574981825706196,0.9506082725060827,0.8229339393271448,0.5396160589739951,0.9510620130216672
DecisionTreeClassifier,0.8619413246087457,0.5725009379746288,0.89366119721057,0.8773172229567832,0.6116210355214019,0.9051094890510949,0.8664746531274056,0.586694915900724,0.8994022841285089
GaussianNB,0.8819003232016295,0.46032473984571204,0.8647032066897763,0.8941384830159806,0.515673660851937,0.8720194647201946,0.8810612740063888,0.4672105856830109,0.8571352332159249
